iter	Passed	Remaining
672	50778	24672
673	50815	24578
674	50839	24478
675	50867	24380
676	50899	24284
677	50930	24188
678	50963	24093
679	50998	23999
680	51031	23904
681	51057	23806
682	51082	23709
683	51110	23612
684	51144	23519
685	51179	23426
686	51213	23333
687	51241	23237
688	51268	23141
689	51296	23046
690	51324	22951
691	51358	22859
692	51385	22763
693	51409	22667
694	51433	22571
695	51459	22476
696	51485	22381
697	51511	22287
698	51538	22193
699	51562	22098
700	51595	22007
701	51620	21912
702	51644	21818
703	51669	21724
704	51693	21630
705	51718	21537
706	51743	21443
707	51768	21350
708	51793	21257
709	51817	21165
710	51842	21072
711	51867	20979
712	51892	20887
713	51917	20796
714	51942	20704
715	51968	20613
716	51995	20522
717	52020	20431
718	52045	20340
719	52070	20249
720	52096	20159
721	52120	20068
722	52149	19979
723	52177	19890
724	52204	19801
725	52231	19712
726	52260	19624
727	52290	19537
728	52314	19447
729	52346	19361
730	52370	19271
731	52397	19183
732	52421	19094
733	52447	19006
734	52470	18918
735	52494	18829
736	52521	18742
737	52547	18655
738	52572	18567
739	52596	18479
740	52621	18392
741	52644	18305
742	52669	18218
743	52695	18131
744	52724	18046
745	52750	17960
746	52776	17874
747	52802	17789
748	52830	17704
749	52857	17619
750	52883	17533
751	52906	17447
752	52932	17363
753	52960	17278
754	52992	17196
755	53015	17110
756	53041	17026
757	53064	16941
758	53090	16857
759	53113	16772
760	53140	16689
761	53162	16604
762	53189	16521
763	53214	16437
764	53242	16355
765	53269	16272
766	53294	16189
767	53319	16106
768	53343	16023
769	53368	15941
770	53395	15859
771	53420	15777
772	53448	15695
773	53472	15613
774	53501	15532
775	53527	15451
776	53552	15369
777	53578	15288
778	53603	15207
779	53628	15126
780	53653	15044
781	53679	14964
782	53703	14883
783	53730	14803
784	53754	14722
785	53783	14643
786	53809	14563
787	53834	14483
788	53860	14403
789	53885	14323
790	53906	14243
791	53930	14163
792	53952	14083
793	53975	14003
794	54014	13928
795	54039	13849
796	54062	13770
797	54087	13691
798	54110	13612
799	54137	13534
800	54160	13455
801	54189	13378
802	54214	13300
803	54239	13222
804	54264	13144
805	54291	13067
806	54319	12990
807	54344	12913
808	54367	12835
809	54390	12758
810	54414	12681
811	54436	12603
812	54458	12526
813	54487	12450
814	54511	12373
815	54533	12296
816	54556	12220
817	54583	12144
818	54605	12067
819	54630	11992
820	54655	11916
821	54677	11840
822	54698	11763
823	54722	11688
824	54743	11612
825	54768	11537
826	54794	11462
827	54826	11389
828	54855	11315
829	54882	11241
830	54912	11167
831	54939	11093
832	54968	11020
833	54997	10946
834	55026	10873
835	55056	10800
836	55088	10728
837	55117	10655
838	55141	10581
839	55170	10508
840	55198	10435
841	55224	10362
842	55247	10289
843	55272	10216
844	55300	10143
845	55326	10071
846	55352	9998
847	55376	9925
848	55402	9853
849	55426	9781
850	55450	9708
851	55476	9636
852	55502	9564
853	55526	9492
854	55549	9420
855	55573	9348
856	55597	9277
857	55623	9205
858	55647	9134
859	55677	9063
860	55704	8992
861	55730	8922
862	55759	8851
863	55784	8780
864	55812	8710
865	55842	8640
866	55872	8570
867	55896	8500
868	55922	8430
869	55947	8359
870	55975	8290
871	56002	8220
872	56027	8150
873	56054	8081
874	56077	8011
875	56103	7941
876	56126	7871
877	56151	7802
878	56176	7733
879	56202	7664
880	56225	7594
881	56249	7525
882	56275	7456
883	56301	7387
884	56324	7319
885	56350	7250
886	56376	7182
887	56403	7113
888	56429	7045
889	56454	6977
890	56482	6909
891	56509	6841
892	56534	6774
893	56559	6706
894	56583	6638
895	56608	6570
896	56632	6502
897	56658	6435
898	56682	6368
899	56705	6300
900	56730	6233
901	56764	6167
902	56794	6100
903	56825	6034
904	56856	5968
905	56881	5901
906	56909	5835
907	56938	5769
908	56967	5702
909	56993	5636
910	57019	5570
911	57046	5504
912	57070	5438
913	57092	5371
914	57120	5306
915	57149	5240
916	57179	5175
917	57210	5110
918	57236	5044
919	57261	4979
920	57295	4914
921	57322	4849
922	57348	4784
923	57373	4719
924	57398	4653
925	57422	4588
926	57447	4523
927	57474	4459
928	57498	4394
929	57522	4329
930	57551	4265
931	57576	4200
932	57604	4136
933	57626	4072
934	57650	4007
935	57676	3943
936	57700	3879
937	57725	3815
938	57750	3751
939	57773	3687
940	57799	3623
941	57825	3560
942	57855	3497
943	57879	3433
944	57905	3370
945	57936	3307
946	57963	3244
947	57992	3181
948	58017	3117
949	58042	3054
950	58067	2991
951	58095	2929
952	58119	2866
953	58145	2803
954	58169	2740
955	58200	2678
956	58224	2616
957	58251	2553
958	58276	2491
959	58301	2429
960	58325	2367
961	58351	2304
962	58375	2242
963	58399	2180
964	58424	2119
965	58450	2057
966	58475	1995
967	58502	1933
968	58528	1872
969	58553	1810
970	58579	1749
971	58608	1688
972	58635	1627
973	58662	1565
974	58689	1504
975	58713	1443
976	58738	1382
977	58762	1321
978	58787	1261
979	58813	1200
980	58837	1139
981	58859	1078
982	58886	1018
983	58910	957
984	58935	897
985	58966	837
986	58993	777
987	59017	716
988	59043	656
989	59066	596
990	59095	536
991	59120	476
992	59144	416
993	59168	357
994	59192	297
995	59217	237
996	59243	178
997	59267	118
998	59292	59
999	59315	0
